id,old_path,is_permanent,redirect_link,redirect_page_id,site_id
184,/l/embryo_evol,t,http://www.dnatube.com/video/4207/What-Can-Embryos-Tell-Us-About-Evolution,,
185,/l/symmetry,t,http://www.youtube.com/watch?v=OStYEu5WLZA,,
186,/l/build_phylogeny,t,http://www.learner.org/courses/biology/archive/animations/hires/a_compev3_h.html,,
187,/l/ocean_life,t,http://www.youtube.com/watch?v=ZTYjLFIhQDM,,
188,/l/mass_extinction,t,http://www.ted.com/talks/lang/en/peter_ward_on_mass_extinctions.html,,
189,/l/extinctions,t,http://dsc.discovery.com/earth/wide-angle/mass-extinctions-timeline.html,,
190,/l/what_is_missing,t,http://www.whatismissing.net/#/home,,
191,/l/declining_fish,t,http://video.nationalgeographic.com/video/environment/habitats-environment/habitats-oceans-env/declining-fish/,,
192,/l/habitat_map,t,http://criticalhabitat.fws.gov/crithab/,,
193,/l/ocean_matters,t,http://video.nationalgeographic.com/video/environment/habitats-environment/habitats-oceans-env/why-ocean-matters/,,
194,/l/exotic_invasive,t,http://www.issg.org/database/welcome/,,
195,/l/protected_areas,t,http://www.protectedplanet.net/,,
196,/l/bone_structures,t,http://evolution.berkeley.edu/evolibrary/article/similarity_hs_01,,
197,/l/misconceptions,t,http://evolution.berkeley.edu/evolibrary/misconceptions_faq.php,,
198,/l/black_death,t,http://www.guardian.co.uk/science/2011/oct/12/black-death-genome-sequenced-dna,,
199,/l/antibiotics,t,http://www.cbsnews.com/video/watch/?id=6685926n,,
200,/l/snails,t,http://evolution.berkeley.edu/evolibrary/article/side_0_0/punctuated_01,,
201,/l/T_brucei,t,https://www.youtube.com/watch?v=EnsydwITLYk,,
202,/l/paramecium,t,http://www.youtube.com/watch?v=iG6Dd3COug4,,
203,/l/chara_corallina,t,http://www.youtube.com/watch?v=kud4qUhsCxg,,
204,/l/slime_mold,t,http://www.youtube.com/watch?v=bkVhLJLG7ug&feature=relmfu,,
205,/l/malaria,t,http://animal.discovery.com/videos/monsters-inside-me-malaria-parasite.html,,
206,/l/African_sleep,t,http://animal.discovery.com/videos/monsters-inside-me-african-sleeping-sickness.html,,
207,/l/tree_of_life2,t,http://www.open.edu/openlearn/nature-environment/natural-history/tree-life,,
208,/l/gymnosperm2,t,http://www.youtube.com/watch?v=D9byVQxvMXs,,
209,/l/welwitschia2,t,http://www.youtube.com/watch?v=PVLACJsoGjk,,
210,/l/pollinators2,t,http://www.fs.fed.us/wildflowers/pollinators/index.shtml,,
211,/l/hardy-weinberg,t,http://www.oege.org/software/hwe-mr-calc.shtml,,
212,/l/epigenetic,t,http://www.the-scientist.com/?articles.view/articleNo/27063/title/An-epigenetic-inheritance/,,
213,/l/genetic_drift,t,http://upload.wikimedia.org/wikipedia/commons/b/b6/Random_sampling_genetic_drift.gif,,
214,/l/founder_bottle,t,http://www.youtube.com/watch?v=hEYV9WEvwaI&noredirect=1,,
215,/l/peppered_moths,t,http://the-scientist.com/2012/02/09/peppered-moths-re-examined/,,
